neg,neg,neg,neg,neg,neg,4XYlGsgNvk3ZSaq52o5R4DRf1RyOZKrZ_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,4yMCPfSaP6NTkg3SNQwBTt5a7HpFPDwt_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,591LcvQUEeNPNbK2Z43TJKG7iDTEY5sh_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5anlutjiyLEkRgiXaPNZDNOhHvxPyvUs_pp.txt,2015,01
pos,pos,neg,pos,pos,pos,5iewVUIWQz2Se1BaSsv58hUqEGfReRAk_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5jH2PIyrfJZfHvLG9TFVb1CvxLpa1w6W_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,5kKWWm6PtgNgLj5WQTC1xapxJf4cb4Qs_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5llYmdEWoF2rkN5hVdOkrMNoKI1sa5G4_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5PozizGkuC2p96WTfy2Oy3Hxteweg9Kn_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5SK8TFKSjCx8LCsTFiM7CcLJdwvzEFwj_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5v5V5OauU9gYagBmzpCA8YjEDOb06LXg_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5xUCeeqEh7Qlzta3r1ivnnSw83EgdU6q_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,5YrG2CmZKNoVyB7HdnW9f4GXdFAwKGBX_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,68cP7aH338edqlY6dSUgLtFl4p25HW9G_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,68sWwyWNWjchArzjQVsCrTQHOyjhnOKh_pp.txt,2015,01
pos,pos,neg,pos,neg,pos,6aPGDNzLAjs0oiamtrEcEUaEoEI7E4hX_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6hpT3or2AzEC5LyozW6bPacM3tuUQdG7_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6NdKvfoeZtaSjbg7HCdUzt3nZeAl1Yu1_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6OqagwNxR7XGp4P5yZefYFyXeVzhiXJO_pp.txt,2015,01
pos,pos,pos,pos,neg,pos,6q2KIEKEdCpCoJFjvtM3EzOle3jK0Hgj_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,6ToLP0KG46XdV1SAqahF6vQMVFOV0InN_pp.txt,2015,01
neg,pos,neg,neg,neg,neg,6ur15RfVZwr4jI7GmUkNScmQQ0j1htYl_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6xikb5vZj2bgaM17QGznFf8A8m7qsmlj_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,6xZx8ZAzLIl1FBrJ75gtgmI4vjZxAymm_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6yAM2XcqXx746dHBsLVvGsAJBgCSWX3X_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6Zj2aIBkUc9243y27TNWyAZu2kjjUpjq_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,6ZqEUGR0KWoQfeLyeqTaEfGn0jLDEyan_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,6zwuuBQlmsXOHV5MkJ0t2qbOWrLENNbl_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,71JOjoXKNqLgwZEidy5jpNwmNge5VCHT_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,77plsFZv6SYAvbD7lxBHHdWTx9nlVwPe_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,7bQrYSTUXn3PooKFtJ5hCbgReTmF59Bx_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,7E4X8ssoGEUylYrUhR2V9xHP0hNG9Fp5_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,7f7gh8tfrT611DSQNXHqMZFwKlmZGs8p_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,7FIr911RfQd9Jfyc6u3rTS7JzYceHi5o_pp.txt,2015,01
pos,pos,pos,pos,pos,pos,7GIMZnBtJd3lkyk5MRdupEPLw6geJ29o_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,7KkSSBanC6vVoptdjg8lHFPiGcsGCogz_pp.txt,2015,01
neg,neg,neg,neg,neg,neg,7llmmfSa9MMyDXTu71Mp4MWVOlD5GPRn_pp.txt,2015,01
